work_id,author_id,author_position,institutions,from_openalex
10.1109/tvcg.2024.3456345,A5019143852,1,"[""I1294671590""]",True
10.1109/tvcg.2024.3456345,A5028659844,2,"[""I1294671590""]",True
10.1109/tvcg.2024.3456345,A5070956346,3,"[""I138006243""]",True
10.1109/tvcg.2024.3456345,A5074734666,4,"[""I3017942884"", ""I1294671590"", ""I4389425457"", ""I39804081""]",True
10.1109/tvcg.2024.3456344,A5087561934,1,"[""I55732556""]",True
10.1109/tvcg.2024.3456344,A5029417016,2,"[""I12912129""]",True
10.1109/tvcg.2024.3456344,A5043391973,3,"[""I55732556""]",True
10.1109/tvcg.2024.3456343,A5001536494,1,"[""I40347166""]",True
10.1109/tvcg.2024.3456343,A5076306018,2,"[""I40347166""]",True
10.1109/tvcg.2024.3456343,A5106163697,3,"[""I40347166""]",True
10.1109/tvcg.2024.3456343,A5106066920,4,"[""I40347166""]",True
10.1109/tvcg.2024.3456343,A5058039138,5,"[""I201448701""]",True
10.1109/tvcg.2024.3456342,A5102958138,1,"[""I107639228""]",True
10.1109/tvcg.2024.3456342,A5101913449,2,"[""I107639228""]",True
10.1109/tvcg.2024.3456341,A5046324646,1,"[""I24943067""]",True
10.1109/tvcg.2024.3456341,A5108963741,2,"[""I98677209""]",True
10.1109/tvcg.2024.3456340,A5006732360,1,"[""I48566637""]",True
10.1109/tvcg.2024.3456340,A5101907560,2,"[""I48566637""]",True
10.1109/tvcg.2024.3456340,A5101961269,3,"[""I48566637""]",True
10.1109/tvcg.2024.3456340,A5030329460,4,"[""I48566637""]",True
10.1109/tvcg.2024.3456340,A5064480048,5,[],True
10.1109/tvcg.2024.3456340,A5020791375,6,"[""I48566637""]",True
10.1109/tvcg.2024.3456340,A5034277315,7,"[""I204337017""]",True
10.1109/tvcg.2024.3456339,A5114030345,1,[],True
10.1109/tvcg.2024.3456339,A5015121983,2,[],True
10.1109/tvcg.2024.3456339,A5001087917,3,[],True
10.1109/tvcg.2024.3456339,A5065630217,4,[],True
10.1109/tvcg.2024.3456338,A5075178545,1,"[""I4210108629"", ""I19820366""]",True
10.1109/tvcg.2024.3456338,A5101317827,2,"[""I31683504""]",True
10.1109/tvcg.2024.3456338,A5039874476,3,"[""I4210108629"", ""I19820366""]",True
10.1109/tvcg.2024.3456338,A5073054870,4,"[""I4210108629"", ""I19820366""]",True
10.1109/tvcg.2024.3456338,A5101531442,5,"[""I31683504""]",True
10.1109/tvcg.2024.3456338,A5100669433,6,[],True
10.1109/tvcg.2024.3456338,A5074351233,7,"[""I134161618""]",True
10.1109/tvcg.2024.3456337,A5101701414,1,"[""I52357470""]",True
10.1109/tvcg.2024.3456337,A5057011942,2,"[""I143302722""]",True
10.1109/tvcg.2024.3456337,A5100349956,3,"[""I223532165""]",True
10.1109/tvcg.2024.3456337,A5101954311,4,"[""I52357470""]",True
10.1109/tvcg.2024.3456337,A5100429585,5,"[""I173911158""]",True
10.1109/tvcg.2024.3456337,A5054749881,6,"[""I52357470""]",True
10.1109/tvcg.2024.3456336,A5020407163,1,"[""I277688954""]",True
10.1109/tvcg.2024.3456336,A5023392600,2,"[""I277688954""]",True
10.1109/tvcg.2024.3456336,A5029815396,3,"[""I185261750""]",True
10.1109/tvcg.2024.3456335,A5007746762,1,"[""I180437899""]",True
10.1109/tvcg.2024.3456335,A5089688638,2,"[""I1294671590"", ""I4210126360""]",True
10.1109/tvcg.2024.3456335,A5058880771,3,"[""I1326498283""]",True
10.1109/tvcg.2024.3456335,A5024860629,4,"[""I1294671590"", ""I4210126360""]",True
10.1109/tvcg.2024.3456334,A5051354114,1,"[""I98677209"", ""I2800638415""]",True
10.1109/tvcg.2024.3456334,A5012088773,2,"[""I102134673""]",True
10.1109/tvcg.2024.3456334,A5067274220,3,"[""I176453806"", ""I2800638415""]",True
10.1109/tvcg.2024.3456334,A5048194226,4,"[""I98677209""]",True
10.1109/tvcg.2024.3456333,A5021951839,1,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456333,A5091466289,2,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456332,A5029790391,1,"[""I136199984""]",True
10.1109/tvcg.2024.3456332,A5006095483,2,"[""I136199984""]",True
10.1109/tvcg.2024.3456332,A5043151044,3,"[""I136199984""]",True
10.1109/tvcg.2024.3456332,A5082790087,4,"[""I130238516""]",True
10.1109/tvcg.2024.3456330,A5057269672,1,"[""I200769079"", ""I889458895""]",True
10.1109/tvcg.2024.3456330,A5108982991,2,"[""I200769079"", ""I889458895""]",True
10.1109/tvcg.2024.3456330,A5036099845,3,"[""I200769079"", ""I889458895""]",True
10.1109/tvcg.2024.3456329,A5107099358,1,"[""I202697423"", ""I118019719""]",True
10.1109/tvcg.2024.3456329,A5013911086,2,"[""I237525767"", ""I202697423""]",True
10.1109/tvcg.2024.3456329,A5107099359,3,"[""I118019719""]",True
10.1109/tvcg.2024.3456329,A5078086722,4,"[""I237525767"", ""I202697423""]",True
10.1109/tvcg.2024.3456328,A5024524412,1,"[""I76130692""]",True
10.1109/tvcg.2024.3456328,A5100763687,2,"[""I76130692""]",True
10.1109/tvcg.2024.3456328,A5103834156,3,"[""I76130692""]",True
