institution_a,institution_b,weight
I143804889,I4210104684,1
I143804889,I4210135640,1
I143804889,I7882870,1
I183935753,I4210104684,1
I183935753,I4210135640,1
I39555362,I4210104684,1
I39555362,I4210135640,1
I40120149,I4210104684,1
I40120149,I4210135640,1
I4210104684,I4210135640,1
I4210104684,I7882870,1
I4210135640,I7882870,1
I4210120115,I66946132,1
I66946132,I889804353,1
I24603500,I27837315,1
I24603500,I4210111179,1
I24603500,I97018004,1
I27837315,I97018004,1
I4210111179,I97018004,1
I139660479,I151727225,1
I1343190059,I7882870,1
I1343190059,I4210135640,1
I1343190059,I4210104684,1
I154570441,I24943067,1
I1306409833,I177605424,1
I177605424,I24603500,1
I177605424,I4210163771,1
I12912129,I57206974,1
I156087764,I57206974,1
I13955877,I189712700,1
I13955877,I2799323385,1
I13955877,I35440088,1
I116953780,I154570441,1
I4210117238,I80605987,1
I118501908,I157485424,1
I1343190059,I40120149,1
I118501908,I48566637,1
I118501908,I60922564,1
I157485424,I48566637,1
I48566637,I60922564,1
I4210117238,I76130692,1
I2250653659,I30809798,1
I4210117238,I4210145761,1
I1343190059,I143804889,1
I1343190059,I183935753,1
I1343190059,I39555362,1
I193662353,I24603500,1
I135191193,I2802236040,1
I200769079,I2801239119,1
I165368041,I52357470,1
I52357470,I66946132,1
I180726961,I76130692,1
I111979921,I116953780,1
I103531236,I2802946424,1
I103531236,I79576946,1
I136199984,I2802946424,1
I136199984,I79576946,1
I2802946424,I79576946,1
I102134673,I1294671590,1
I102134673,I138006243,1
I102134673,I143910747,1
I102134673,I15057530,1
