author_id,openalex_author_id_url,display_name,orcid,source
A5100451791,https://openalex.org/A5100451791,Rong Zhang,https://orcid.org/0000-0002-4669-4816,openalex
A5091466289,https://openalex.org/A5091466289,Huamin Qu,https://orcid.org/0000-0002-3344-9694,openalex
A5058162843,https://openalex.org/A5058162843,Carter Blair,https://orcid.org/0009-0001-9472-4071,openalex
A5001552541,https://openalex.org/A5001552541,Xiyao Wang,https://orcid.org/0000-0003-2429-6064,openalex
A5109526081,https://openalex.org/A5109526081,Atul Kumar,https://orcid.org/0009-0003-0525-8748,openalex
A5010950688,https://openalex.org/A5010950688,Siddharth Garg,https://orcid.org/0000-0002-6158-9512,openalex
A5035530630,https://openalex.org/A5035530630,Soumya Dutta,https://orcid.org/0000-0002-3936-6718,openalex
A5100594357,https://openalex.org/A5100594357,Md Dilshadur Rahman,https://orcid.org/0009-0008-5467-615X,openalex
A5016840348,https://openalex.org/A5016840348,Bhavana Doppalapudi,,openalex
A5042875512,https://openalex.org/A5042875512,Samuel Reinders,https://orcid.org/0000-0001-5627-413X,openalex
A5078170988,https://openalex.org/A5078170988,Matthew Butler,https://orcid.org/0000-0002-7950-5495,openalex
A5035648097,https://openalex.org/A5035648097,Ingrid Zukerman,https://orcid.org/0000-0003-2237-5017,openalex
A5108131775,https://openalex.org/A5108131775,Bongshin Lee,,openalex
A5008486397,https://openalex.org/A5008486397,Lizhen Qu,https://orcid.org/0000-0002-7764-431X,openalex
A5085695563,https://openalex.org/A5085695563,Kim Marriott,https://orcid.org/0000-0002-9813-0377,openalex
A5004184559,https://openalex.org/A5004184559,Tianyu Xiong,https://orcid.org/0009-0005-0618-0131,openalex
A5003306393,https://openalex.org/A5003306393,Skylar W. Wurster,https://orcid.org/0000-0001-6685-615X,openalex
A5054749881,https://openalex.org/A5054749881,Hanqi Guo,https://orcid.org/0000-0001-7776-1834,openalex
A5108096533,https://openalex.org/A5108096533,Tom Peterka,,openalex
