institution_id,macro_category,count,institution_name
I4210158283,Visual Programming & ML,2,Institute of Geography of the Slovak Academy of Sciences
I4210158342,Graph Visualization & Text Mining,1,Intel (United Kingdom)
I4210158342,Perception & Uncertainty Vis,1,Intel (United Kingdom)
I4210158342,Visual Programming & ML,1,Intel (United Kingdom)
I4210158342,Volume Rendering & Immersive Tech,1,Intel (United Kingdom)
I4210158876,Graph Visualization & Text Mining,1,Marinus Pharmaceuticals (United States)
I4210158984,Visual Programming & ML,1,National Supercomputing Center in Wuxi
I4210158984,Volume Rendering & Immersive Tech,1,National Supercomputing Center in Wuxi
I4210159102,Visual Programming & ML,1,Huawei Technologies (Sweden)
I4210159102,Volume Rendering & Immersive Tech,1,Huawei Technologies (Sweden)
I4210159266,Imaging & Display Technology,2,Mitsubishi Electric (United States)
I4210159266,Molecular Simulation,1,Mitsubishi Electric (United States)
I4210159266,Volume Rendering & Immersive Tech,1,Mitsubishi Electric (United States)
I4210159476,Graph Visualization & Text Mining,1,Science and Technology Corporation (United States)
I4210159558,High-Dimensional Data Analysis,1,Joint Institute for Computational Sciences
I4210159558,Imaging & Display Technology,1,Joint Institute for Computational Sciences
I4210159731,High-Dimensional Data Analysis,1,Laboratoire de Recherche en Informatique de Paris 6
I4210159854,Imaging & Display Technology,1,Max Planck Institute of Molecular Cell Biology and Genetics
I4210159895,Network Security & Anomaltic,1,Imagination Computer Services (Austria)
I4210160189,Graph Visualization & Text Mining,3,Institut Polytechnique de Bordeaux
I4210160189,High-Dimensional Data Analysis,1,Institut Polytechnique de Bordeaux
I4210160189,Visual Programming & ML,2,Institut Polytechnique de Bordeaux
I4210160189,Volume Rendering & Immersive Tech,1,Institut Polytechnique de Bordeaux
I4210160384,Social & Biomedical Analytics,1,Institute of Biomedical Science
I4210160401,Social & Biomedical Analytics,1,National Center for Infectious Diseases
I4210160447,Causality & Temporal Analysis,1,Universidad de Londres
I4210160447,Graph Visualization & Text Mining,1,Universidad de Londres
I4210160447,Social & Biomedical Analytics,1,Universidad de Londres
I4210160447,Volume Rendering & Immersive Tech,1,Universidad de Londres
I4210160527,Geospatial & Seismic Vis,1,University of California Davis Medical Center
I4210160527,Volume Rendering & Immersive Tech,1,University of California Davis Medical Center
I4210160608,Volume Rendering & Immersive Tech,1,Asklepios
I4210160618,Graph Visualization & Text Mining,1,Huawei Technologies (United Kingdom)
I4210160939,Graph Visualization & Text Mining,2,Oculus Innovative Sciences (United States)
