author_id,papers,citations,awards,author_name
A5007843760,1,4.0,0,A.e. Kaufman
A5007892541,1,83.0,0,Mikhail Smelyanskiy
A5007892780,1,230.0,0,John A. Lee
A5007901564,1,52.0,0,Matthew Hurst
A5007902165,1,14.0,0,Chun-qi Zhou
A5007906010,1,0.0,0,T.s. Denney
A5007913345,2,152.0,0,Gareth Humphreys
A5007929097,1,0.0,0,Pierre Boutillier
A5007968836,3,136.0,0,Christoph Schulz
A5007970056,1,4.0,0,Veronica J. Vieland
A5007976839,1,17.0,0,Benjamin Isaac
A5007998668,1,10.0,0,Harris A. Lewin
A5008009084,1,22.0,0,Lixia Jin
A5008017371,2,134.0,0,Christian Lauterbach
A5008071697,2,13.0,0,Tim Cech
A5008076279,1,4.0,0,Yong‐jin Liu
A5008100854,2,208.0,0,Fabien Jourdan
A5008112425,1,5.0,0,Jingjing Guo
A5008138905,1,22.0,0,Jui-hsien Wang
A5008149778,24,1680.0,4,Tim Dwyer
A5008151140,1,23.0,0,Joe Mattis
A5008156597,1,1.0,0,Mark Igra
A5008165586,1,116.0,1,Jérôme Waser
A5008170232,1,18.0,0,N. Llopis-artime
A5008170279,1,19.0,0,Jeremy L. Muhlich
A5008182880,1,1.0,0,Ignacio Ponzoni
A5008189486,1,4.0,0,Yang Haizheng
A5008198574,2,20.0,0,J.v. Carlis
A5008232797,1,8.0,0,S. Schar
A5008269094,11,838.0,2,Elke A. Rundensteiner
A5008276662,1,27.0,0,Mikko Nikkilä
A5008307990,3,74.0,0,Eric Wernert
A5008309281,1,37.0,0,Huw Dawkes
A5008316351,1,36.0,0,Patrick J. Fitzpatrick
A5008318051,1,52.0,0,William A. Mcneely
A5008337640,4,84.0,0,Ali Sarvghad
A5008340710,1,64.0,0,Alexander Mehler
A5008350531,1,2.0,0,Robert J. Mcdermott
A5008364265,1,11.0,0,Jean R. Ponciano
A5008404864,1,3.0,1,Xinyi Zhou
A5008408374,1,99.0,0,Stephan Pajer
A5008453389,1,1.0,0,Carl Manaster
A5008472566,1,29.0,0,T. Biddlecome
A5008486397,1,9.0,1,Lizhen Qu
A5008493965,5,254.0,0,H. Jänicke
A5008514949,1,18.0,0,Puripant Ruchikachorn
A5008522968,1,29.0,0,David Cline
A5008530963,1,90.0,0,Kevin Wong
A5008570029,1,18.0,0,David A. Rushall
A5008575290,1,24.0,0,Michael Wade
A5008588842,2,54.0,0,Rongchen Zhu
