work_id,author_id,author_position,author_display_name,affiliation_raw,institutions_openalex_ids,institutions_names,institutions_country_codes,institutions_ror,from_openalex
10.1109/tvcg.2017.2745078,A5102981760,2,Subhajit Das,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/tvcg.2017.2745078,A5086054864,3,Ravish Chawla,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/tvcg.2017.2745078,A5005262925,4,Bharath Kalidindi,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/tvcg.2017.2745078,A5049577340,5,Eli T. Brown,,"[""I118353179""]","[""DePaul University""]","[""US""]","[""https://ror.org/04xtx5t16""]",True
10.1109/tvcg.2017.2745078,A5064306421,6,Alex Endert,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/tvcg.2017.2744098,A5079986783,1,Jiazhi Xia,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2017.2744098,A5000588866,2,Fenjin Ye,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2017.2744098,A5101495078,3,Wei Chen,,"[""I76130692""]","[""Zhejiang University""]","[""CN""]","[""https://ror.org/00a2xv884""]",True
10.1109/tvcg.2017.2744098,A5101942464,4,Yusi Wang,,"[""I139660479""]","[""Central South University""]","[""CN""]","[""https://ror.org/00f1zfq44""]",True
10.1109/tvcg.2017.2744098,A5113676982,5,Weifeng Chen,,"[""I90727586""]","[""Zhejiang University of Finance and Economics""]","[""CN""]","[""https://ror.org/055vj5234""]",True
10.1109/tvcg.2017.2744098,A5101409792,6,Yuxin Ma,,"[""I76130692""]","[""Zhejiang University""]","[""CN""]","[""https://ror.org/00a2xv884""]",True
10.1109/tvcg.2017.2744098,A5023925931,7,Anthony K. H. Tung,,"[""I165932596""]","[""National University of Singapore""]","[""SG""]","[""https://ror.org/01tgyzw49""]",True
10.1109/tvcg.2017.2743959,A5076551093,1,Jochen Görtler,,"[""I189712700""]","[""University of Konstanz""]","[""DE""]","[""https://ror.org/0546hnb39""]",True
10.1109/tvcg.2017.2743959,A5007968836,2,Christoph Schulz,,"[""I100066346""]","[""University of Stuttgart""]","[""DE""]","[""https://ror.org/04vnq7t77""]",True
10.1109/tvcg.2017.2743959,A5073619125,3,Daniel Weiskopf,,"[""I100066346""]","[""University of Stuttgart""]","[""DE""]","[""https://ror.org/04vnq7t77""]",True
10.1109/tvcg.2017.2743959,A5036489223,4,Oliver Deußen,,"[""I189712700""]","[""University of Konstanz""]","[""DE""]","[""https://ror.org/0546hnb39""]",True
10.1109/tvcg.2016.2598444,A5058364844,1,Siwei Fu,,"[""I200769079"", ""I889458895""]","[""Hong Kong University of Science and Technology"", ""University of Hong Kong""]","[""HK"", ""HK""]","[""https://ror.org/00q4vv597"", ""https://ror.org/02zhqgq86""]",True
10.1109/tvcg.2016.2598444,A5018820623,2,Jian Zhao,,"[""I1286353243""]","[""Autodesk (United States)""]","[""US""]","[""https://ror.org/00pkt4594""]",True
10.1109/tvcg.2016.2598444,A5100653962,3,Weiwei Cui,,"[""I4210164937""]","[""Microsoft Research (United Kingdom)""]","[""GB""]","[""https://ror.org/05k87vq12""]",True
10.1109/tvcg.2016.2598444,A5091466289,4,Huamin Qu,,"[""I200769079"", ""I889458895""]","[""Hong Kong University of Science and Technology"", ""University of Hong Kong""]","[""HK"", ""HK""]","[""https://ror.org/00q4vv597"", ""https://ror.org/02zhqgq86""]",True
10.1109/tvcg.2015.2467752,A5079997473,1,Theresia Gschwandtner,,"[""I145847075""]","[""TU Wien""]","[""AT""]","[""https://ror.org/04d836q62""]",True
10.1109/tvcg.2015.2467752,A5032676799,2,Markus Bögl,,"[""I145847075""]","[""TU Wien""]","[""AT""]","[""https://ror.org/04d836q62""]",True
10.1109/tvcg.2015.2467752,A5054248452,3,Paolo Federico,,"[""I145847075""]","[""TU Wien""]","[""AT""]","[""https://ror.org/04d836q62""]",True
10.1109/tvcg.2015.2467752,A5019622072,4,Silvia Miksch,,"[""I145847075""]","[""TU Wien""]","[""AT""]","[""https://ror.org/04d836q62""]",True
10.1109/tvcg.2014.2346424,A5029815396,1,Fanny Chevalier,,"[""I4210167018""]","[""Interaction Design (United Kingdom)""]","[""GB""]","[""https://ror.org/03qfyes53""]",True
10.1109/tvcg.2014.2346424,A5032305401,2,Pierre Dragicevic,,[],[],[],[],True
