author_id_1,author_id_2,weight
A5088199295,A5100400800,3
A5088672772,A5108035744,3
A5091144609,A5110321988,3
A5091314206,A5103084682,3
A5091314206,A5103725392,3
A5091408797,A5100607707,3
A5091466289,A5100377652,3
A5091466289,A5100447162,3
A5091466289,A5108098662,3
A5100344494,A5100660205,3
A5100344494,A5108035744,3
A5100344494,A5119246991,3
A5100344522,A5102759669,3
A5100357631,A5110208682,3
A5100424394,A5100609686,3
A5100447162,A5100627882,3
A5100606995,A5107904995,3
A5100607707,A5100660205,3
A5100654454,A5100674437,3
A5100728564,A5110208682,3
A5101683904,A5109616081,3
A5102306926,A5107858068,3
A5102902131,A5112771943,3
A5108447612,A5109616081,3
A5109345368,A5114031893,3
A5109928029,A5111985276,3
A5111539577,A5113478834,3
A1984358069,A2101266097,2
A1992769770,A2101266097,2
A1992769770,A3091912261,2
A1992769770,A3092568790,2
A1992769770,A5093598220,2
A2099156760,A2101978051,2
A2101266097,A2106163841,2
A2101266097,A3091912261,2
A2101266097,A3092568790,2
A2101266097,A5093598220,2
A2158800269,A257767137,2
A3091912261,A3092568790,2
A3091912261,A5093598220,2
A3092568790,A5093598220,2
A5000006583,A5077191719,2
A5000099153,A5039626800,2
A5000099153,A5046964482,2
A5000173125,A5043312264,2
A5000189941,A5074006931,2
A5000374095,A5021634649,2
A5000374095,A5085748011,2
A5000413604,A5012288548,2
A5000413604,A5045224825,2
A5000413604,A5078424052,2
A5000420564,A5062614232,2
A5000420564,A5068366580,2
A5000474356,A5025567094,2
A5000474356,A5032013640,2
A5000474356,A5036729475,2
A5000474356,A5038775008,2
A5000474356,A5046703129,2
A5000474356,A5069933365,2
A5000474356,A5073619125,2
A5000474356,A5084279065,2
A5000474356,A5100653962,2
A5000474356,A5109616081,2
A5000497037,A5005648942,2
A5000497037,A5070670810,2
A5000555892,A5019393500,2
A5000555892,A5037110552,2
A5000555892,A5052824737,2
A5000555892,A5060664606,2
A5000555892,A5078536303,2
A5000555892,A5113153568,2
A5000594918,A5039180428,2
A5000602540,A5018111215,2
A5000602540,A5028646122,2
A5000602540,A5073731680,2
A5000622960,A5019622072,2
A5000622960,A5063965880,2
A5000622960,A5109928029,2
A5000630402,A5027548665,2
A5000687536,A5012255877,2
A5000687536,A5028531367,2
A5000687536,A5088109190,2
A5000695313,A5002000124,2
A5000695313,A5006074260,2
A5000695313,A5023685974,2
A5000695313,A5051753754,2
A5000695313,A5058156675,2
A5000695313,A5073803727,2
A5000695313,A5109928029,2
A5000695313,A5110321988,2
A5000755776,A5008754293,2
A5000755776,A5022294742,2
A5000755776,A5025312015,2
A5000755776,A5039343836,2
A5000755776,A5042938029,2
A5000755776,A5063965880,2
A5000755776,A5081622405,2
A5000755776,A5082751676,2
A5000755776,A5103406484,2
A5000755776,A5109928029,2
A5000813954,A5069939725,2
A5000858152,A5020547967,2
A5000885442,A5065873350,2
A5001128245,A5037161857,2
A5001186358,A5110321988,2
A5001362069,A5034699298,2
A5001421168,A5018584803,2
A5001469241,A5082234726,2
A5001531096,A5019781916,2
A5001531096,A5057582080,2
A5001531096,A5085906659,2
A5001531096,A5087146581,2
A5001531096,A5089605137,2
A5001536494,A5020327777,2
A5001536494,A5090570042,2
A5001617768,A5016219620,2
A5001617768,A5071723951,2
A5001617768,A5073919282,2
A5001647607,A5038629539,2
A5001649622,A5015384117,2
A5001649622,A5022944235,2
A5001649622,A5032305401,2
A5001649622,A5082971754,2
A5001741248,A5043151044,2
A5001741248,A5084459196,2
A5001876683,A5073919282,2
A5001966756,A5033866336,2
A5001966756,A5050668117,2
A5001966756,A5100379697,2
A5002000124,A5006074260,2
A5002000124,A5051753754,2
A5002000124,A5073803727,2
A5002000124,A5110321988,2
A5002030068,A5045738980,2
