AuthorAffiliation_clean,canonical_affiliation_en,canonical_method,canonical_match_score
"Brown University, Providence, RI, USA","Brown University, Providence, RI, USA",exact,100.0
"Brown University, USA","Brown University, USA",exact,100.0
"Brunei University, UK","Brunei University, UK",exact,100.0
Bucknell University,Bucknell University,exact,100.0
"Bundang Hospital, Seoul National University","Bundang Hospital, Seoul National University",exact,100.0
"Bunkyo University, Japan","Bunkyo University, Japan",exact,100.0
"ByteDance Inc., China","ByteDance Inc., China",exact,100.0
"C&C Research Laboratories, NEC USA, Inc., USA","C&C Research Laboratories, NEC USA, Inc., USA",exact,100.0
"C-research, Linköping University, Sweden","C-research, Linköping University, Sweden",exact,100.0
"CAML and BFRL, National Institute for Standards and Technology, Gaithersburg, MD, USA","CAML and BFRL, National Institute for Standards and Technology, Gaithersburg, MD, USA",exact,100.0
"CASC, Lawrence Livermore Nat. Lab., CA, USA","CASC, Lawrence Livermore Nat. Lab., CA, USA",exact,100.0
"CASC, Lawrence Livermore Nat. Lab., CA, USA#University of California at Davis","CASC, Lawrence Livermore Nat. Lab., CA, USA#University of California at Davis",exact,100.0
"CATT Laboratory, University of Maryland, USA","CATT Laboratory, University of Maryland, USA",exact,100.0
"CCV TICAM, Department of Computer Sciences, University of Technology, Austin, USA","CCV TICAM, Department of Computer Sciences, University of Technology, Austin, USA",exact,100.0
"CCV TICAM, University of Technology, Austin, USA","CCV TICAM, University of Technology, Austin, USA",exact,100.0
"CE, Purdue University, USA","CE, Purdue University, USA",exact,100.0
"CEA LSI and INRIA/IRISA, Fontenay-aux-Roses, France","CEA LSI and INRIA/IRISA, Fontenay-aux-Roses, France",exact,100.0
"CEA LSI, France","CEA LSI, France",exact,100.0
"CEA, DAM, DIF, Arpajon, France","CEA, DAM, DIF, Arpajon, France",exact,100.0
"CERN, Geneva, Switzerland","CERN, Geneva, Switzerland",exact,100.0
"CFD Research Corporation, Huntsville, AL, USA","CFD Research Corporation, Huntsville, AL, USA",exact,100.0
"CIPIC & Department of Computer Science, University of California, Davis","CIPIC & Department of Computer Science, University of California, Davis",exact,100.0
"CISE Department, University of Florida, USA","CISE Department, University of Florida, USA",exact,100.0
"CMIV, Linköping University, Sweden","CMIV, Linköping University, Sweden",exact,100.0
"CMR AS, University of Bergen, Norway","CMR AS, University of Bergen, Norway",exact,100.0
"CN/AS Division, CERN, Geneva, Switzerland","CN/AS Division, CERN, Geneva, Switzerland",identity,75.4
"CNET, Sophia-Antipolis, France","CNET, Sophia-Antipolis, France",exact,100.0
"CNIC, CAS","CNIC, CAS",exact,100.0
"CNIC, CAS, China","CNIC, CAS, China",exact,100.0
"CNIC, CAS., United States","CNIC, CAS., United States",exact,100.0
CNR of Pisa,CNR of Pisa,exact,100.0
"CNR-ISTI, Pisa, Italy","CNR-ISTI, Pisa, Italy",exact,100.0
"CNRS & Inria, Université Paris-Sud","CNRS & Inria, Université Paris-Sud",exact,100.0
"CNRS (LRI) and INRIA, University Paris Sud, France","CNRS (LRI) and INRIA, University Paris Sud, France",exact,100.0
"CNRS / Sorbonne University, France","CNRS / Sorbonne University, France",exact,100.0
"CNRS LIP6, UPMC, Télécom Paris'Iech, Paris, France","CNRS LIP6, UPMC, Télécom Paris'Iech, Paris, France",exact,100.0
CNRS LTCI & Télécom ParisTech,CNRS LTCI & Télécom ParisTech,exact,100.0
CNRS and Sorbonne Université,CNRS and Sorbonne Université,exact,100.0
"CNRS, France","CNRS, France",exact,100.0
"CNRS, Inria, LISN, Inria, Université Paris-Saclay, France","CNRS, Inria, LISN, Inria, Université Paris-Saclay, France",exact,100.0
"CNRS, Inria, LISN, Université Paris-Saclay, France","CNRS, Inria, LISN, Université Paris-Saclay, France",exact,100.0
"CNRS, Inria, Université Paris-Saclay, France","CNRS, Inria, Université Paris-Saclay, France",exact,100.0
"CNRS, Telecom Paris Tech, France","CNRS, Telecom Paris Tech, France",exact,100.0
"CNRS-UCBN-ENSICAEN, GREYC, Caen, France","CNRS-UCBN-ENSICAEN, GREYC, Caen, France",exact,100.0
"CNRS/INPG/INRIA/UJF, ID-IMAG, Grenoble, France","CNRS/INPG/INRIA/UJF, ID-IMAG, Grenoble, France",exact,100.0
