year,title,awards,awardsLabels,hasGraphicsReplicabilityStamp
2022,Quick Clusters: A GPU-Parallel Partitioning for Efficient Path Tracing of Unstructured Volumetric Grids,['HM'],['Honorable Mention'],False
2022,MEDLEY: Intent-based Recommendations to Support Dashboard Composition,['HM'],['Honorable Mention'],False
2022,Evaluating the Use of Uncertainty Visualisations for Imputations of Data Missing At Random in Scatterplots,['HM'],['Honorable Mention'],False
2022,Breaking the Fourth Wall of Data Stories through Interaction,['HM'],['Honorable Mention'],False
2022,TrafficVis: Visualizing Organized Activity and Spatio-Temporal Patterns for Detecting and Labeling Human Trafficking,['HM'],['Honorable Mention'],False
2022,Uncertainty-Aware Multidimensional Scaling,['BP'],['Best Paper'],True
2022,VDL-Surrogate: A View-Dependent Latent-based Model for Parameter Space Exploration of Ensemble Simulations,['HM'],['Honorable Mention'],False
2022,GRay: Ray Casting for Visualization and Interactive Data Exploration of Gaussian Mixture Models,['HM'],['Honorable Mention'],False
2022,FoVolNet: Fast Volume Rendering using Foveated Deep Neural Networks,['HM'],['Honorable Mention'],False
2022,ChartWalk: Navigating large collections of text notes in electronic health records for clinical chart review,['HM'],['Honorable Mention'],False
2022,Supporting Expressive and Faithful Pictorial Visualization Design with Visual Style Transfer,['HM'],['Honorable Mention'],False
2022,The Quest for Omnioculars: Embedded Visualization for Augmenting Basketball Game Viewing Experiences,['HM'],['Honorable Mention'],False
2022,OBTracker: Visual Analytics of Off-ball Movements in Basketball,['HM'],['Honorable Mention'],False
2022,Extending the Nested Model for User-Centric XAI: A Design Study on GNN-based Drug Repurposing,['HM'],['Honorable Mention'],False
2022,Affective Learning Objectives for Communicative Visualizations,['BP'],['Best Paper'],False
2022,Dashboard Design Patterns,['HM'],['Honorable Mention'],False
2022,SliceTeller: A Data Slice-Driven Approach for Machine Learning Model Validation,['HM'],['Honorable Mention'],False
2022,ASTF: Visual Abstractions of Time-Varying Patterns in Radio Signals,['HM'],['Honorable Mention'],False
2022,Exploring Interactions with Printed Data Visualizations in Augmented Reality,['HM'],['Honorable Mention'],False
2022,Multiple Forecast Visualizations (MFVs): Trade-offs in Trust and Performance in Multiple COVID-19 Forecast Visualizations,['BP'],['Best Paper'],False
2021,Causal Support: Modeling Causal Inferences with Visualizations,['HM'],['Honorable Mention'],False
2021,Feature Curves and Surfaces of 3D Asymmetric Tensor Fields,['BP'],['Best Paper'],False
2021,VizSnippets: Compressing Visualization Bundles Into Representative Previews for Browsing Visualization Collections,['HM'],['Honorable Mention'],False
2021,Explanatory Journeys: Visualising to Understand and Explain Administrative Justice Paths of Redress,['HM'],['Honorable Mention'],False
2021,Interactive Exploration of Physically-Observable Objective Vortices in Unsteady 2D Flow,['HM'],['Honorable Mention'],False
2021,Loon: Using Exemplars to Visualize Large-Scale Microscopy Data,['HM'],['Honorable Mention'],False
2021,Simultaneous Matrix Orderings for Graph Collections,['BP'],['Best Paper'],False
2021,SPEULER: Semantics-preserving Euler Diagrams,['HM'],['Honorable Mention'],False
2021,SightBi: Exploring Cross-View Data Relationships with Biclusters,['HM'],['Honorable Mention'],False
2021,Real-Time Visual Analysis of High-Volume Social Media Posts,['HM'],['Honorable Mention'],False
2021,Context Matters: A Theory of Semantic Discriminability for Perceptual Encoding Systems,['HM'],['Honorable Mention'],False
2021,Rethinking the Ranks of Visual Channels,['HM'],['Honorable Mention'],False
2021,Perception! Immersion! Empowerment! Superpowers as Inspiration for Visualization,['BP'],['Best Paper'],False
2021,IRVINE: A Design Study on Analyzing Correlation Patterns of Electrical Engines,['BP'],['Best Paper'],False
2021,An Evaluation-Focused Framework for Visualization Recommendation Algorithms,['HM'],['Honorable Mention'],False
2021,VBridge: Connecting the Dots Between Features and Data to Explain Healthcare Models,['HM'],['Honorable Mention'],False
2021,Communicating Visualizations without Visuals: Investigation of Visualization Alternative Text for People with Visual Impairments,['HM'],['Honorable Mention'],False
2021,Augmenting Sports Videos with VisCommentator,['HM'],['Honorable Mention'],False
2021,M2Lens: Visualizing and Explaining Multimodal Models for Sentiment Analysis,['HM'],['Honorable Mention'],False
2021,KG4Vis: A Knowledge Graph-Based Approach for Visualization Recommendation,['HM'],['Honorable Mention'],False
2020,A Design Space of Vision Science Methods for Visualization Research,['HM'],['Honorable Mention'],False
2020,Interactive Black-Hole Visualization,['HM'],['Honorable Mention'],False
2020,A Simple Pipeline for Coherent Grid Maps,['HM'],['Honorable Mention'],False
2020,Objective Observer-Relative Flow Visualization in Curved Spaces for Unsteady 2D Geophysical Flows,['BP'],['Best Paper'],False
2020,A Generic Framework and Library for Exploration of Small Multiples through Interactive Piling,['HM'],['Honorable Mention'],False
2020,In Search of Patient Zero: Visual Analytics of Pathogen Transmission Pathways in Hospitals,['HM'],['Honorable Mention'],False
